Titre du poste,Entreprise,Adresse,Salaire,Decription,date
RTW Trims Developer,Loewe,Paris (75),,"The person will report to the RTW embroidery & trims developer. Organise, launch and follow up on the needed dyeing and galva of the trims based on the needs of…",Postedil y a 30+ jours
nouveauSTAGE BUSINESS DEVELOPMENT – STARTUP DANS LE VIN ET LA BIÈRE,LE MURMURE DE LA CAVE,Hybrid remote in 75002 Paris 2e,,- Pour un producteur partenaire tu seras Chef de Secteur (50% de ton temps) : *. O Tu optimises les implantations produits.,Postedil y a 5 jours
Front-end Developer,LP Digital,Paris (75),,"Le développeur Front-End doit parfaitement maîtriser le HTML5, CSS3 et le JavaScript. Il met à jour continuellement ses connaissances, car les évolutions sont…",Postedil y a 30+ jours
Coach Agile h/f - Paris,Valtech,Paris (75),,"Rejoignez une équipe internationale, multiculturelle et multidisciplinaire (Scrum Master, Business Analysts, QA, Front and Back Developers) dédiée au…",Postedil y a 13 jours
IOS Developer Sénior F/H,Groupe SeLoger,Paris 1er (75),,"Actualisée le 26/01/2022. SeLoger innove en permanence pour éclairer au mieux ses internautes et pour leur proposer une expérience simplifiée, agréable et…",Postedil y a 12 jours
nouveauBusiness Developer - Alternant,BCOM Digital,Boulogne-Billancourt (92),,Notre mission est d’établir des stratégies de communication digitales pertinentes et innovantes visant à accroître leur notoriété et leur visibilité.,Postedil y a 8 jours
nouveauBusiness Developer - Restauration Commerciale Chaînée F/H,welinkit,Paris 8e (75),71 000 € par an,"Notre client, filiale française d'un Groupe européen de l'édition de logiciels dédiés au secteur de la restauration, est leader en France sur son marché.",Postedil y a 3 jours
Business Developer | Stagiaire,Dexyos,Paris (75),1 000 € par mois,"Nous valorisons les personnes audacieuses, ambitieuses, motivées et centrées sur le client. Tu seras directement rattaché à notre VP Sales.",Postedil y a 30+ jours
nouveauAlternance Business Developer,GuestReady,75010 Paris 10e,,"Nous avons levé environ $20M auprès d'investisseurs et vendu plus de 1 600 000 nuitées, générant des revenus locatifs de plus de $60M+.",Postedil y a 1 jour
Dev PHP/ Symfony - Start-up dans l’Agro-alimentaire (IT),Eyetech solutions,Paris (75),50 000 € - 60 000 € par an,Depuis 2014 cette start-up était déjà en avance sur son temps car elle a réalisé que le français moyen aime cuisiner et d’autant plus se faire plaisir avec des…,Postedil y a 22 jours
nouveauSenior Full stack Web3 Developer M/F - Permanent position,TechByTech,Télétravail in 75004 Paris 4e,,"They are searching for experienced, self-motivated, passionate developers and engineers looking to be part of something groundbreaking.",Postedil y a 5 jours
Stage Business Developer F/H - Paris - Mars 2022,Upfast,Paris (75),,Élevage / croissance du CA des clients existants. Analyse / vision périodique du marché. Bac +4/5 en école de commerce / d'ingénieur ou équivalent universitaire…,Postedil y a 14 jours
nouveauStage - Business Developer,Numberly,75009 Paris 9e,1 400 € par mois,"Marketing Technologist, Numberly est un des acteurs phares du Data Marketing en Europe. Expert reconnu en CRM digital et Marketing programmatique, Numberly…",Postedil y a 5 jours
Front-end Web Developer (React),Sketchfab,Paris (75),,Used to work together with designers and other developers. Our robust APIs let developers support direct uploading and downloading of 3D models; and configure…,Postedil y a 30+ jours
nouveauBusiness Developer Advanced - DPT 75 - 93 (H/F),Anaveo,75001 Paris 1er,50 000 € - 90 000 € par an,"Proposer des solutions de sécurité électronique personnalisées et convaincre des interlocuteurs de haut niveau (Dirigeants d'entreprises, Directeurs Achats).",Postedil y a 3 jours
nouveauInside Business Developer,Groupon,Paris (75),,"Multinationale américaine créée en 2008, Groupon est aujourd'hui l'une des références mondiales des sites de e-commerce.",Postedil y a 5 jours
nouveauBusiness Developer H/F,Le petit Patron,Paris (75),1 749 € - 4 293 € par mois,- Structurer le plan de développement de l’entreprise. - Recherche de nouveaux clients en France et Europe. Maîtrise de la création de business plan.,Postedil y a 7 jours
Business Developer Junior,Yoburo,75011 Paris 11e,,Tu as en charge l’identification et la qualification des opportunités sur le marché français pour l’équipe commerciale ;,Postedil y a 28 jours
nouveauBusiness Developer DEF F/H,Orange Business Services,93210 Saint-Denis,,Vous êtes le/la garant(e) du passage du statut client(s) « suspect(s) » à « prospect(s) » matérialisé par une Revue d'Engagement(s) d'Opportunité(s) tracée(s)…,Postedil y a 4 jours
nouveauRESPONSABLE COMMERCIAL - BUSINESS DEVELOPER H/F,LEVALLOIS SPORTING CLUB,92300 Levallois-Perret,28 983 € - 61 459 € par an,C souhaite s’inscrire dans une dynamique de soutien et de promotion au sport de Haut Niveau en vue de voir les athlètes licenciés en son sein participer aux…,PostedAujourd'hui
Junior Trader (Paris),WEBB Traders BV,Paris 8e (75),,"You will be trading U.S. and Brazilian markets. Pricing and trading options of listed financial instruments, as well as managing and optimizing your daily…",Postedil y a 30+ jours
nouveauFront end Developer : Web3 enthusiast M/F - Permanent...,TechByTech,Télétravail in 75004 Paris 4e,,"They are searching for experienced, self-motivated, passionate developers and engineers looking to be part of something groundbreaking.",Postedil y a 5 jours
nouveauStage - Business Developer (SDR),Ezus,Paris (75),700 € par mois,"En pleine construction, l'équipe commerciale cherche le prochain Jordan Belfort (joke). Identifier et contacter à froid des prospects cibles (Outbound) par…",Postedil y a 5 jours
nouveauBusiness Developer - Formation Santé Sécurité H/F,SafetyFirst Formation,93000 Bobigny,25 000 € - 45 000 € par an,"Tu devras également être sensible aux aspects réglementaires qu’exigent certaines formations. Salaire fixe, selon profil + Partie variable, basée sur tes ventes…",PostedAujourd'hui
Business Developer H/F,glide.io,Télétravail temporaire in 75002 Paris 2e,3 300 € par mois,"Notre technologie est utilisée dans une multitude de projets de mobilité et d'autopartage en France, en Europe et dans le monde.",Postedil y a 12 jours
Business Developer Commercial (F/H),Groupe les Echos Le Parisien,Paris (75),,"Construire un portefeuille clients via des actions de prospection téléphonique, prise de rdv, participation à des évènements professionnels et ouverture de…",Postedil y a 14 jours
nouveauDAS/Platinion Recruiter,Boston Consulting Group,75007 Paris,,"Experience recruiting candidates with extensive IT background: architects, developers, IT consultants. You will own the full lifecycle of recruiting activities…",Postedil y a 6 jours
nouveauDeveloper CI/CD services (F/M),SAP,92300 Levallois-Perret,,The SAP Tools team is responsible for developing and running SAP’s central CI/CD development tools for SAP's developers.,Postedil y a 5 jours
Pricing Strategy Analyst (M/W/NB),Ubisoft,Paris (75),,"A strong curiousity for the competitive video game landscape – publishers, developers, titles, and content. As a key contributor supporting the Europe Region,…",Postedil y a 13 jours
nouveauBusiness Developer (H/F),LASER COMPONENTS,92190 Meudon,50 000 € par an,"Afin de développer de nouveaux marchés dans le secteur de la photonique, nous recherchons actuellement un Business developer ayant des connaissances solides en…",Postedil y a 7 jours
Java Developer,Binance,Paris (75),,"Digest various business requirements and write solid codes plus tests. Initiate performance tuning, troubleshoot online incidents, etc.",Postedil y a 30+ jours
Digital Product Designer,Pernod Ricard,Paris (75),,"The delivery phase: explore design opportunities, design interfaces and user journeys, and follow development integration with developers.",Postedil y a 30+ jours
BUSINESS DEVELOPER EDITION DE LOGICIELS PARIS F/H,TEAMBER SAS,Télétravail in Paris (75),40 000 € - 60 000 € par an,"Enfin, chez TEAMBER, on ne cultive pas que l’esprit d’équipe, on cultive le développement durable et on s’engage dans la RSE, au travers d’actions engagées.",Postedil y a 18 jours
QA Engineer F/M/NB,Ubisoft,Paris (75),,"You will work closely with a QA Analyst and multiple developers on various missions: Implementation of automatic tests in C++ (creation of guidelines / rules,…",Postedil y a 8 jours
BUSINESS DEVELOPER EDITION DE LOGICIELS PARIS F/H,TEAMBER SAS,Télétravail in Paris (75),40 000 € - 60 000 € par an,"Enfin, chez TEAMBER, on ne cultive pas que l’esprit d’équipe, on cultive le développement durable et on s’engage dans la RSE, au travers d’actions engagées.",Postedil y a 18 jours
QA Engineer F/M/NB,Ubisoft,Paris (75),,"You will work closely with a QA Analyst and multiple developers on various missions: Implementation of automatic tests in C++ (creation of guidelines / rules,…",Postedil y a 8 jours
Business Developer H/F,MONOGRAM PARIS,75008 Paris 8e,40 000 € - 45 000 € par an,Identifier les risques et les opportunités. Définir un plan d’action à partir de business plan rentables. Identifier les partenaires idéaux de développement du…,Postedil y a 30+ jours
Unity Game Developer Junior,Dual Cat,75116 Paris 16e,,Créer les prochains Jeux Top #1 des stores ! Développer rapidement et efficacement des prototypes de jeux du prototype jusqu'à la mise en production.,Postedil y a 19 jours
Business Developer H/F,Cost Solutions,75014 Paris 14e+ 1 lieu,70 000 € - 100 000 € par an,"Vous avez un vrai esprit d'équipe et tempérament fonceur, une capacité à partager, écouter et donner. Type d'emploi : Temps plein, CDI.",Postedil y a 22 jours
Business Developer Formation H/F,QUATERNAIRE,75002 Paris 2e,85 000 € - 95 000 € par an,"Cette montée d’adrénaline quand vous décrochez un RDV. *L’effet Waouh en se démarquant *chez des prospects. *Vendre, vendre et vendre *des formations sur mesure…",Postedil y a 30+ jours
nouveauData Scientist,Adevinta Group,Paris (75),,"Media Production / Data Science & Insights / Engineering. This means using cutting edge technology to create highly scalable, customisable and secure products…",PostedPubliée à l'instant
Business developer B2C H/F,Kaliz,Paris (75),50 000 € par an,"Après une semaine complète d'onboarding, tu seras prêt à aller chercher tes objectifs. Sourcer et qualifier des contacts afin de les prospecter.",Postedil y a 30+ jours
nouveauChargé de Recrutement (H/F),HR Team,Télétravail in 75009 Paris 9e,27 000 € - 50 000 € par an,Le sourcing sur l’ensemble des outils existants (Jobboard/Réseaux) ; La réalisation d’entretien téléphonique des profils identifiés ;,Postedil y a 6 jours
Stage/Alternance - Python Web Scraping Developer,Budget Insight,75003 Paris 3e,,"Budget Insight est une scale-up créée en 2012 qui développe des API permettant d'agréger des données financières, de collecter des documents ou encore d’initier…",Postedil y a 30+ jours
nouveauERP Project Manager (m/f/d),Camptocamp,Paris (75),,"We have great expertise in the areas of Enterprise Resource Planning software (ERP) with Odoo, IT management systems and Geographic Information Systems (GIS).",PostedPubliée à l'instant
nouveauBusiness Analyst (m/f),Airbus,Paris (75),,"At least 5 years of work experience in a technological field (e.g. as a software developer or application integrator),. Analytical thinker and problem solver,.",Postedil y a 4 jours
nouveauCommercial sédentaire H/F,Homerez,75002 Paris 2e,45 000 € par an,"Sous la responsabilité du Head of Sales, vous serez en charge de prospecter des nouvelles propriétés. Négocier les termes et conditions du contrat.",Postedil y a 1 jour
nouveauBusiness Developer H/F,PagePersonnel,Paris (75)+ 3 lieux,30 000 € - 32 000 € par an,Venez-vous investir dans un environnement challengeant et sur un métier entrepreneurial passionnant. Cette expérience vous permet de mettre en pratique et de…,Postedil y a 6 jours
Business developer fournisseurs H/F,NEGOMARKETS,75015 Paris 15e,4 000 € par mois,Prospecter des nouveaux fournisseurs partout en Europe meuble et décoration. Rechercher les produits demandés par notre équipe produit.,Postedil y a 30+ jours
nouveauStage | Business Developer H/F,DATASCIENTEST,92800 Puteaux,1 000 € - 1 500 € par mois,"Présenter et promouvoir nos formations Cybersécurité. Comprendre les besoins des futurs clients, et leur proposer la formation la plus adaptée.",PostedPubliée à l'instant
nouveauStage - Assistant commercial/ Business developer,Chily,75011 Paris 11e,,Participe au lancement de l’école en développant tes compétences de business developer en assistant directement la co-fondatrice de la société.,Postedil y a 1 jour
nouveauCDD / STAGE BUSINESS DEVELOPER,Les Petits Fabricants,Télétravail temporaire in 75011 Paris,1 749 € - 2 500 € par mois,_Présentation de l’agence _*. Les Petits Fabricants est une agence de communication audiovisuelle créée en 2016 et qui bénéficie d’une forte croissance.,Postedil y a 7 jours
Stage - Business Developer Junior,Ulule,Télétravail in Paris (75),1 000 € par mois,"Assister l'équipe commerciale dans la vente de formations, les renouvellements, l'upsell et le cross-selling.",Postedil y a 30+ jours
Production Support Engineer - Paris / Nice / Full Remote fro...,Hivebrite,Télétravail in Paris (75),,A 60 min video-call with a functional expert and a developer. Troubleshoot and solve technical issues (bugs or incidents) arised to the Production Support Team…,Postedil y a 30+ jours
nouveauBusiness Developer,AppCraft,Télétravail temporaire in 75015 Paris 15e+ 1 lieu,19 238 € - 30 000 € par an,"Notre société est valorisante, en évolution perpétuelle et autonome. Start-up innovante basée dans le 15eme, AppCraft révolutionne le marché de l'événementiel…",Postedil y a 6 jours
Business Developer H/F,METIGA,Télétravail in 75003 Paris 3e,35 000 € par an,"Des possibilités d'évolution rapides. Un management de proximité, de l'accompagnement et une bonne ambiance. Rattaché.e au Responsable et en collaboration avec…",Postedil y a 28 jours
BUSINESS DEVELOPER / ACCOUNT MANAGER H/F,TEEPTRAK SAS,Télétravail temporaire in 75011 Paris 11e,30 000 € - 40 000 € par an,"Tu accompagneras aussi tes collègues lors d’opérations de communication et de salons professionnels. Pour rejoindre une équipe jeune et dynamique, basée à Paris…",Postedil y a 18 jours
nouveauFront end Developer : Web3 enthusiast M/F - Permanent...,TechByTech,Télétravail in 75004 Paris 4e,,"They are searching for experienced, self-motivated, passionate developers and engineers looking to be part of something groundbreaking.",Postedil y a 5 jours
