Titre du poste,Entreprise,Adresse,Salaire,Decription,date
Machine Learning Engineer,Adevinta Group,Télétravail in Paris (75),,"Our Cognition team, based in Paris, is a multidisciplinary team of seven members with data scientists, data engineers and backend developers.",Postedil y a 30+ jours
Financial Planning Analyst (W/M/NB),Ubisoft,Paris (75),,"The department consists of the Strategic Innovation Lab (developer of blockchain projects), the Corporate Social Responsibility team, a Positive Gaming team …",Postedil y a 15 jours
Nonlinear Rates Technology Desk Aligned Developer - Python/E...,"JPMorgan Chase Bank, N.A.",Paris (75),,"As a Desk Aligned Software Engineer in JPMorgan's Rates Technology, you will be based in Paris working for the largest interest rate derivatives franchise in…",Postedil y a 19 jours
Geomatician / Géomaticien(ne),RWE Renewables France SAS,Paris (75),,"RWE Renouvelables France is one of the main developers of renewable energy projects in France, with a team of more than 110 experienced employees.",Postedil y a 30+ jours
nouveauBusiness Developer F/H,Kadow Club,Paris (75),,Kadow Club est une start up qui développe des jeux marketing accessibles par QR code. Dans le cadre de l’accroissement rapide de notre Start-up nous sommes à la…,PostedAujourd'hui
Business Developer H/F,DUALIS partner,Paris 12e (75)+ 1 lieu,45 000 € - 55 000 € par an,Identifier et sélectionner les appels d’offres. Participer à la conception et à la réalisation d’une stratégie commerciale à longs et courts termes.,Postedil y a 27 jours
Développeur Java full stack,Axway Software SA,Paris (75),,"Nous recherchons un *développeur Java full stack* pour nous aider à développer Axway Flow Manager et Transfer CFT, la solution de gestion des flux de données et…",Postedil y a 11 jours
nouveauBUSINESS DEVELOPER B TO B H/F,La Banque Postale Consumer Finance,75015 Paris 15e,1 749 € - 4 293 € par mois,Le Business Développer sera en charge du développement commercial auprès d’une cible de client B 2 B dont le CA 3 millions d’€.,Postedil y a 2 jours
Business Developer,Skello,Télétravail in 75008 Paris 8e,38 000 € - 40 000 € par an,"Tu es en charge de ton territoire (industrie & zone géographique) à développer, et tu intègres une équipe (""POD"") avec laquelle tu travailles pour conquérir…",Postedil y a 21 jours
Software Engineer,6WIND,Paris (75),,"6WIND software is deployed globally by Service Providers, Systems Integrators and Tier-1 OEMs, allowing customers to replace expensive hardware with flexible…",Postedil y a 30+ jours
nouveauBusiness Developer H/F,Shoppinette,Télétravail in Paris (75),,"Très bonne communication et toujours positif ! Type d'emploi : Temps plein, Stage. Bac +5 (Master / MBA) (Optionnel).",PostedAujourd'hui
Chargé des Relations entreprises (H/F),TALENTIS HORIZON,Paris (75),,"> Participer au recrutement des étudiants lors des concours d’admission. > Prospecter par emailing, par Linkedin, par téléphone les clients.",Postedil y a 11 jours
nouveauStage Business Developer H/F,AntVoice,75002 Paris 2e,26 175 € - 52 120 € par an,AntVoice a levé 5 M€ auprès de CapHorn Invest et de business angels expérimentés et sa technologie a été récompensée de nombreuses fois (lauréat de la Nuit des…,Postedil y a 6 jours
nouveauJunior Designer Graphique (Stage Juillet 2022),FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
